target,text
MERCHENT,UPI/P2M/701827012792/Maria Ford/Fedral Bank
BANK_TRANSFER,UPI/P2A/869831011408/Matthew Sullivan/Axis Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/316335333441/SALARY/APR/2020/Apr
SALARY,INB-BULK-UPLD/589018031671/SALARY/OCT/2020/Oct
BANK_TRANSFER,UPI/P2A/586829805506/Dylan Sellers/ICICI Bank/UPI
MERCHENT,UPI/P2M/605428892056/Sean Curry/State Bank
MERCHENT,UPI/P2M/183373009806/Meredith Hammond/Yes Bank
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/808226429139/Mrs. Leslie Davis MD/Yes Bank
BANK_TRANSFER,UPI/P2A/779867536205/Kimberly Kim/ICICI Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/788214805839/Michael Wright/Yes Bank/UPI
BANK_TRANSFER,UPI/P2A/194209065427/Eric Foley/ICICI Bank/UPI
MERCHENT,UPI/P2M/778940545837/John Barnes/Fedral Bank
SALARY,INB-BULK-UPLD/946473454299/SALARY/JAN/2021/Jan
BANK_TRANSFER,UPI/P2A/860412415013/John Mendoza/Yes Bank/UPI
MERCHENT,UPI/P2M/744175891161/Diana Miller/Axis Bank
MERCHENT,UPI/P2M/734940789676/Ashley Thompson/Yes Bank
MERCHENT,UPI/P2M/759397102844/Thomas Thomas/State Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/119936445387/Jared Wright/HDFC Bank/UPI
MERCHENT,UPI/P2M/700871725568/Cynthia Smith/ICICI Bank
SALARY,INB-BULK-UPLD/548994648533/SALARY/JUN/2021/Jun
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/973302355393/Paula Snow/State Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/915583261792/Louis Mills DVM/Fedral Bank/UPI
BANK_TRANSFER,UPI/P2A/574003307597/Sue Bryant/Fedral Bank/UPI
SALARY,INB-BULK-UPLD/251893793341/SALARY/JAN/2023/Jan
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/373534808013/SALARY/OCT/2020/Oct
BANK_TRANSFER,UPI/P2A/328147330025/Kathy Hogan/HDFC Bank/UPI
SALARY,INB-BULK-UPLD/502448204771/SALARY/NOV/2021/Nov
SALARY,INB-BULK-UPLD/986633715165/SALARY/AUG/2023/Aug
SALARY,INB-BULK-UPLD/903031076027/SALARY/NOV/2022/Nov
BANK_TRANSFER,UPI/P2A/130596397348/Paula Owen/State Bank/UPI
SALARY,INB-BULK-UPLD/549868947531/SALARY/DEC/2023/Dec
MERCHENT,UPI/P2M/951187867734/Daniel Hoover/HDFC Bank
SALARY,INB-BULK-UPLD/203507308056/SALARY/MAR/2022/Mar
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/277513143122/Jennifer Rogers/Yes Bank/UPI
BANK_TRANSFER,UPI/P2A/789602583034/Holly Leach/HDFC Bank/UPI
BANK_TRANSFER,UPI/P2A/875300463107/Jonathan Maldonado/HDFC Bank/UPI
MERCHENT,UPI/P2M/455043354288/Sandra Diaz/Yes Bank
SALARY,INB-BULK-UPLD/432861106953/SALARY/MAY/2020/May
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/364845087347/Linda Murphy/Fedral Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/887266243822/John Wilson/State Bank/UPI
SALARY,INB-BULK-UPLD/566793878989/SALARY/JUN/2023/Jun
SALARY,INB-BULK-UPLD/214762569114/SALARY/DEC/2023/Dec
BANK_TRANSFER,UPI/P2A/366598131897/Joseph Velazquez/Axis Bank/UPI
MERCHENT,UPI/P2M/488260125931/Amber Rose/HDFC Bank
MERCHENT,UPI/P2M/699022100268/Denise Rosales/Yes Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/370025545756/Adam Mccormick/HDFC Bank
MERCHENT,UPI/P2M/374213866635/Randall Carlson/Fedral Bank
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/549273443533/Stephen Suarez/State Bank
SALARY,INB-BULK-UPLD/276119947779/SALARY/FEB/2022/Feb
BANK_TRANSFER,UPI/P2A/374219710335/Danny Mann/HDFC Bank/UPI
MERCHENT,UPI/P2M/827506524768/Tiffany Vang/Fedral Bank
BANK_TRANSFER,UPI/P2A/224558225599/Katherine Carson/ICICI Bank/UPI
MERCHENT,UPI/P2M/849203645204/Tina Sanchez/HDFC Bank
BANK_TRANSFER,UPI/P2A/110023475104/Megan Wang/Axis Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/862111988782/Mark Gill/Yes Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/701628864088/William Best/Axis Bank
BANK_TRANSFER,UPI/P2A/917083730944/Sean Brooks/Fedral Bank/UPI
MERCHENT,UPI/P2M/344384981048/Tiffany Thomas/ICICI Bank
MERCHENT,UPI/P2M/565897760530/Bruce Lewis/ICICI Bank
BANK_TRANSFER,UPI/P2A/992962074926/Katherine York/State Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/150924933238/SALARY/AUG/2020/Aug
SALARY,INB-BULK-UPLD/778024999360/SALARY/MAY/2022/May
SALARY,INB-BULK-UPLD/954398554025/SALARY/DEC/2020/Dec
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/876193404336/Joseph Rodriguez/Axis Bank
SALARY,INB-BULK-UPLD/952469908144/SALARY/DEC/2021/Dec
BANK_TRANSFER,UPI/P2A/536599337196/Michael Gordon/Axis Bank/UPI
MERCHENT,UPI/P2M/123196233815/Alicia Simmons/Fedral Bank
MERCHENT,UPI/P2M/178158684029/Christine Moore/Axis Bank
MERCHENT,UPI/P2M/609621679132/Jason Carrillo/HDFC Bank
MERCHENT,UPI/P2M/485977895817/Jennifer Hill/State Bank
MERCHENT,UPI/P2M/400307849841/William Jacobs/HDFC Bank
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/919745391451/Brendan Cooper/Fedral Bank
MERCHENT,UPI/P2M/716500094786/Joshua Dominguez/State Bank
MERCHENT,UPI/P2M/387186876373/Lauren White/ICICI Bank
MERCHENT,UPI/P2M/586090910861/Tim Jackson/State Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/159581842505/Justin Buckley/HDFC Bank/UPI
BANK_TRANSFER,UPI/P2A/771097931116/Wendy Webster/ICICI Bank/UPI
BANK_TRANSFER,UPI/P2A/513839754434/Mary Hernandez/Yes Bank/UPI
MERCHENT,UPI/P2M/871086840734/Karen Wolfe/HDFC Bank
BANK_TRANSFER,UPI/P2A/371734716522/Andrew Morgan/Fedral Bank/UPI
SALARY,INB-BULK-UPLD/685555760735/SALARY/JAN/2021/Jan
MERCHENT,UPI/P2M/232209785216/Jacob Wood/ICICI Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/369056522659/Joseph Henderson/Yes Bank
SALARY,INB-BULK-UPLD/983221686885/SALARY/FEB/2020/Feb
BANK_TRANSFER,UPI/P2A/635909567200/Miranda Williams/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/612156847075/SALARY/JUN/2023/Jun
MERCHENT,UPI/P2M/523410705561/Christina Bates/Fedral Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/828384847108/Kimberly Rocha/Axis Bank/UPI
SALARY,INB-BULK-UPLD/932821609290/SALARY/SEP/2020/Sep
SALARY,INB-BULK-UPLD/879449637770/SALARY/APR/2021/Apr
MERCHENT,UPI/P2M/554986975157/Kelly Thomas/Axis Bank
MERCHENT,UPI/P2M/864218385624/Debra Campbell/Axis Bank
MERCHENT,UPI/P2M/102212311001/Angela Hughes/Axis Bank
SALARY,INB-BULK-UPLD/263036601170/SALARY/DEC/2022/Dec
BANK_TRANSFER,UPI/P2A/866216101439/Sharon Morris/Axis Bank/UPI
BANK_TRANSFER,UPI/P2A/414291082389/Jennifer Gamble/Fedral Bank/UPI
MERCHENT,UPI/P2M/837930144545/Jennifer Perez/Yes Bank
BANK_TRANSFER,UPI/P2A/579013271877/Courtney Miller/Axis Bank/UPI
SALARY,INB-BULK-UPLD/745246531185/SALARY/DEC/2021/Dec
MERCHENT,UPI/P2M/502447165434/Michael Wallace/ICICI Bank
BANK_TRANSFER,UPI/P2A/761717468996/Todd Lopez/State Bank/UPI
MERCHENT,UPI/P2M/126777235380/Jaclyn Roach/Yes Bank
SALARY,INB-BULK-UPLD/423838900149/SALARY/NOV/2022/Nov
BANK_TRANSFER,UPI/P2A/386703315453/John Williams/Fedral Bank/UPI
MERCHENT,UPI/P2M/252044732907/Jennifer Powell/Yes Bank
MERCHENT,UPI/P2M/357997119130/Brian Wright/Axis Bank
SALARY,INB-BULK-UPLD/404561795550/SALARY/JAN/2023/Jan
SALARY,INB-BULK-UPLD/128964150038/SALARY/FEB/2021/Feb
MERCHENT,UPI/P2M/221491719336/Angela Smith/Fedral Bank
BANK_TRANSFER,UPI/P2A/832501576324/Eric Forbes/Fedral Bank/UPI
BANK_TRANSFER,UPI/P2A/359434128758/Jason Kennedy/ICICI Bank/UPI
BANK_TRANSFER,UPI/P2A/750208005245/Joshua Bartlett/HDFC Bank/UPI
MERCHENT,UPI/P2M/795896153052/Stephen Edwards/Fedral Bank
BANK_TRANSFER,UPI/P2A/793073896041/Elizabeth Brown/Axis Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/916129442131/SALARY/NOV/2023/Nov
BANK_TRANSFER,UPI/P2A/605579612919/Eric Wright/Axis Bank/UPI
MERCHENT,UPI/P2M/943467442767/Amy Erickson/Axis Bank
BANK_TRANSFER,UPI/P2A/516899067809/Amanda Smith/ICICI Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/917824772719/Alexander Hayes/Yes Bank
SALARY,INB-BULK-UPLD/567193231576/SALARY/AUG/2021/Aug
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/302541251211/Danielle Smith/HDFC Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/934579247427/SALARY/APR/2020/Apr
MERCHENT,UPI/P2M/765536804513/Stephanie Mccall/Fedral Bank
SALARY,INB-BULK-UPLD/562779336180/SALARY/AUG/2020/Aug
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/509685819310/Drew Calhoun/ICICI Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/252288213532/Courtney Nielsen/Axis Bank
BANK_TRANSFER,UPI/P2A/279412525569/Samantha Richard/State Bank/UPI
SALARY,INB-BULK-UPLD/733205667977/SALARY/JAN/2020/Jan
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/458403204612/SALARY/SEP/2023/Sep
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/914488750535/Amanda Chavez/Yes Bank
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/458755163946/Brooke Marshall/Yes Bank
BANK_TRANSFER,UPI/P2A/468236375853/Fred Bradford/ICICI Bank/UPI
BANK_TRANSFER,UPI/P2A/917156893322/Michelle Barry/State Bank/UPI
MERCHENT,UPI/P2M/118182731171/Margaret Booker/Yes Bank
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/444386270985/Robert Wagner/Yes Bank
MERCHENT,UPI/P2M/118882057724/Amanda Schaefer/State Bank
BANK_TRANSFER,UPI/P2A/498517184815/Melissa Hanson/Fedral Bank/UPI
SALARY,INB-BULK-UPLD/299306809649/SALARY/NOV/2022/Nov
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/678175056029/Amanda Evans/Fedral Bank
BANK_TRANSFER,UPI/P2A/695828911669/Jonathon Jones/Yes Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/205321792940/William Wade/HDFC Bank
MERCHENT,UPI/P2M/875465456812/Virginia Carlson/State Bank
SALARY,INB-BULK-UPLD/672183227846/SALARY/JAN/2021/Jan
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/158896097895/SALARY/MAY/2021/May
SALARY,INB-BULK-UPLD/769081550967/SALARY/APR/2020/Apr
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/981688720167/SALARY/DEC/2022/Dec
BANK_TRANSFER,UPI/P2A/747552721054/Kyle Oliver/State Bank/UPI
SALARY,INB-BULK-UPLD/117205521703/SALARY/OCT/2023/Oct
BANK_TRANSFER,UPI/P2A/390335348103/John Haas/State Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/201990965390/SALARY/JUL/2022/Jul
MERCHENT,UPI/P2M/361088507331/Dr. Michael Martin MD/State Bank
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/982525542276/Corey Villanueva/Axis Bank
SALARY,INB-BULK-UPLD/319837714013/SALARY/DEC/2020/Dec
MERCHENT,UPI/P2M/402078529624/Christina Rodriguez/Yes Bank
BANK_TRANSFER,UPI/P2A/515942023819/Sandra Smith/Yes Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/190285599548/Tim Taylor/HDFC Bank/UPI
SALARY,INB-BULK-UPLD/325374112102/SALARY/AUG/2023/Aug
SALARY,INB-BULK-UPLD/833382707720/SALARY/FEB/2021/Feb
MERCHENT,UPI/P2M/169857933233/Douglas Cooper/State Bank
SALARY,INB-BULK-UPLD/881231262915/SALARY/OCT/2021/Oct
SALARY,INB-BULK-UPLD/811535925167/SALARY/JUN/2022/Jun
SALARY,INB-BULK-UPLD/783815573547/SALARY/OCT/2020/Oct
SALARY,INB-BULK-UPLD/766943824127/SALARY/OCT/2023/Oct
SALARY,INB-BULK-UPLD/199217473630/SALARY/JAN/2023/Jan
MERCHENT,UPI/P2M/803400361787/Anthony Gonzalez/State Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/590298528768/Larry Dillon/HDFC Bank/UPI
BANK_TRANSFER,UPI/P2A/346794485787/Tina Fry/State Bank/UPI
BANK_TRANSFER,UPI/P2A/403503909421/Cody Moore/State Bank/UPI
BANK_TRANSFER,UPI/P2A/596001618369/Victoria Rivera/HDFC Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/553520606258/Anthony Thomas/State Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/478874654461/Christopher Gonzalez/Yes Bank/UPI
SALARY,INB-BULK-UPLD/547492822133/SALARY/JUL/2020/Jul
MERCHENT,UPI/P2M/504055582216/Michael Cohen/ICICI Bank
MERCHENT,UPI/P2M/132824810716/Danielle Greene/Axis Bank
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/481603557768/SALARY/OCT/2023/Oct
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/966919530623/SALARY/MAR/2023/Mar
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/217503059779/Melinda Richardson/State Bank/UPI
MERCHENT,UPI/P2M/861321709857/Michael Morton/State Bank
BANK_TRANSFER,UPI/P2A/903897606298/Catherine Young/HDFC Bank/UPI
BANK_TRANSFER,UPI/P2A/172789899416/Benjamin Rodgers/Axis Bank/UPI
BANK_TRANSFER,UPI/P2A/584112180383/Leslie Rodriguez/Axis Bank/UPI
MERCHENT,UPI/P2M/177121100985/Taylor Wong/Fedral Bank
BANK_TRANSFER,UPI/P2A/889043049095/Megan Davis/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/578970098292/SALARY/MAY/2023/May
SALARY,INB-BULK-UPLD/655327611751/SALARY/MAY/2023/May
BANK_TRANSFER,UPI/P2A/540983294797/Justin Walker/ICICI Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/296608047965/SALARY/JUN/2020/Jun
MERCHENT,UPI/P2M/601580814575/Miranda Miller/ICICI Bank
SALARY,INB-BULK-UPLD/331605140934/SALARY/JUL/2023/Jul
SALARY,INB-BULK-UPLD/264168553504/SALARY/JAN/2020/Jan
SALARY,INB-BULK-UPLD/536647481728/SALARY/APR/2022/Apr
SALARY,INB-BULK-UPLD/380628238158/SALARY/DEC/2020/Dec
BANK_TRANSFER,UPI/P2A/111304920699/Brenda Parsons/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/727321645565/SALARY/OCT/2021/Oct
MERCHENT,UPI/P2M/421016632928/Ian Powell/Fedral Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/880337376063/Theresa Barrett/HDFC Bank/UPI
BANK_TRANSFER,UPI/P2A/119035276262/Sarah Wallace/HDFC Bank/UPI
SALARY,INB-BULK-UPLD/263405630975/SALARY/MAY/2020/May
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/206573331848/SALARY/JAN/2020/Jan
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/648384533689/Kelsey Hodge/HDFC Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/966982908623/Toni Shields/Fedral Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/936535669098/Brittany Thornton/State Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/520947377671/Daniel Kelly/Axis Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/599844259421/SALARY/APR/2020/Apr
SALARY,INB-BULK-UPLD/826108776884/SALARY/JAN/2021/Jan
BANK_TRANSFER,UPI/P2A/800050905067/Diana Green/State Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/212997057119/Erika Vaughn/Fedral Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/846287306983/Angel Smith/HDFC Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/202210782747/Nicole Sanchez/Yes Bank/UPI
SALARY,INB-BULK-UPLD/532133506803/SALARY/AUG/2022/Aug
SALARY,INB-BULK-UPLD/634779591978/SALARY/OCT/2022/Oct
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/863937527601/Stephen Sanchez/HDFC Bank
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/155141932528/SALARY/APR/2021/Apr
SALARY,INB-BULK-UPLD/895384207430/SALARY/AUG/2023/Aug
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/494446009014/Dr. Elaine Arnold/HDFC Bank
SALARY,INB-BULK-UPLD/341763423134/SALARY/MAR/2020/Mar
BANK_TRANSFER,UPI/P2A/662520196553/Curtis Fischer/Yes Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/770070012378/Ashley Clark MD/ICICI Bank
MERCHENT,UPI/P2M/184717340248/Denise Ramos/HDFC Bank
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/133529978103/SALARY/MAY/2022/May
SALARY,INB-BULK-UPLD/534246085372/SALARY/JUL/2023/Jul
SALARY,INB-BULK-UPLD/600393878744/SALARY/JUL/2022/Jul
BANK_TRANSFER,UPI/P2A/894820433149/Sherry Salazar/Yes Bank/UPI
SALARY,INB-BULK-UPLD/389942774206/SALARY/AUG/2022/Aug
SALARY,INB-BULK-UPLD/356789671216/SALARY/JUN/2023/Jun
SALARY,INB-BULK-UPLD/351796600672/SALARY/JUN/2020/Jun
SALARY,INB-BULK-UPLD/628332283585/SALARY/SEP/2020/Sep
MERCHENT,UPI/P2M/927165934385/Maria Cook/Yes Bank
SALARY,INB-BULK-UPLD/303095779775/SALARY/DEC/2022/Dec
MERCHENT,UPI/P2M/918123548222/Timothy Reid Jr./Fedral Bank
MERCHENT,UPI/P2M/565466095382/Andre Johns/Fedral Bank
SALARY,INB-BULK-UPLD/584907059283/SALARY/APR/2022/Apr
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/603911326317/SALARY/AUG/2021/Aug
MERCHENT,UPI/P2M/259238181527/Michael Valentine/Fedral Bank
MERCHENT,UPI/P2M/611745774816/Blake Lopez/State Bank
BANK_TRANSFER,UPI/P2A/806046924958/Richard Burns/ICICI Bank/UPI
MERCHENT,UPI/P2M/609693534009/Casey Mckinney/HDFC Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/945722482293/Pamela Logan/Fedral Bank/UPI
MERCHENT,UPI/P2M/602841688347/Joshua Maldonado/HDFC Bank
BANK_TRANSFER,UPI/P2A/604735286573/Sherri Montes/Yes Bank/UPI
SALARY,INB-BULK-UPLD/596941306871/SALARY/FEB/2022/Feb
MERCHENT,UPI/P2M/795277848577/Stephanie Osborne/ICICI Bank
MERCHENT,UPI/P2M/332497496159/Gwendolyn Vazquez/Yes Bank
MERCHENT,UPI/P2M/926070604004/David Castillo/HDFC Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/286060041360/SALARY/FEB/2022/Feb
MERCHENT,UPI/P2M/747844377744/Kayla Wilson/Fedral Bank
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/869155766013/Ashley Roberts/State Bank
MERCHENT,UPI/P2M/556118829094/Cynthia Washington/HDFC Bank
MERCHENT,UPI/P2M/508442076079/Joseph Medina III/Yes Bank
SALARY,INB-BULK-UPLD/239484872922/SALARY/OCT/2020/Oct
BANK_TRANSFER,UPI/P2A/335840353912/Elizabeth Owen/HDFC Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/854587545506/SALARY/MAR/2021/Mar
BANK_TRANSFER,UPI/P2A/262393953401/Kelly Martinez/HDFC Bank/UPI
MERCHENT,UPI/P2M/108298644504/Harold Miller/Yes Bank
MERCHENT,UPI/P2M/287909729407/Kevin Cline/Yes Bank
MERCHENT,UPI/P2M/261491722624/Stephanie Brooks/Yes Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/731875644089/Andre Poole/State Bank/UPI
MERCHENT,UPI/P2M/110706589949/Michele West/State Bank
MERCHENT,UPI/P2M/538380403998/Jim Orr/State Bank
SALARY,INB-BULK-UPLD/266984392045/SALARY/JUN/2021/Jun
BANK_TRANSFER,UPI/P2A/899089827256/Michelle Cunningham/ICICI Bank/UPI
MERCHENT,UPI/P2M/335133700412/Matthew Bolton/ICICI Bank
MERCHENT,UPI/P2M/599705871048/Melissa Salazar/State Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/506941787149/John Barrera/Axis Bank/UPI
BANK_TRANSFER,UPI/P2A/147971468848/Brianna Harvey/Yes Bank/UPI
SALARY,INB-BULK-UPLD/536259364996/SALARY/NOV/2021/Nov
BANK_TRANSFER,UPI/P2A/135772516726/Edgar Leon/HDFC Bank/UPI
BANK_TRANSFER,UPI/P2A/702005622843/Timothy Martin/Axis Bank/UPI
BANK_TRANSFER,UPI/P2A/558869990384/David Case/Fedral Bank/UPI
SALARY,INB-BULK-UPLD/499967296011/SALARY/OCT/2020/Oct
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/124869172116/Molly Yates/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/247112718635/SALARY/FEB/2023/Feb
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/423620728847/Roger French/Axis Bank
SALARY,INB-BULK-UPLD/725537241317/SALARY/NOV/2020/Nov
BANK_TRANSFER,UPI/P2A/799627368676/Carrie Murphy/HDFC Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
